,0,1,2
0,1,0.9670737385749817,0.5592352059495415
1,2,0.8622070550918579,0.5429060632585423
2,3,0.8090463280677795,0.5215022382154878
3,4,0.7797173857688904,0.5071986115751406
4,5,0.7659120559692383,0.5037146320135532
5,6,0.7612815499305725,0.5083478234596861
6,7,0.7595219612121582,0.5172545987085214
7,8,0.7590875625610352,0.5276836582464108
8,9,0.7571176290512085,0.5378461593027924
9,10,0.7565504908561707,0.547321848074583
10,11,0.75639408826828,0.5566087017824717
11,12,0.756763219833374,0.56608187275341
12,13,0.7544076442718506,0.5757443166666594
13,14,0.7527855038642883,0.5854718949932545
14,15,0.750433087348938,0.5945308329892339
15,16,0.748536229133606,0.6027469645173988
16,17,0.745374321937561,0.6093786330224251
17,18,0.7426458597183228,0.6149510736559651
18,19,0.7389957904815674,0.6195959783495399
19,20,0.7355266809463501,0.6239673185070623
20,21,0.7313187718391418,0.6283144658824849
21,22,0.7281234264373779,0.6329025558524858
22,23,0.7246737480163574,0.637681341869627
23,24,0.721835732460022,0.6425081850421612
24,25,0.7185306549072266,0.6471803476666993
25,26,0.7160581350326538,0.6518815197358367
26,27,0.7129219770431519,0.6564444316973175
27,28,0.7100322246551514,0.6607337791227457
28,29,0.7086508870124817,0.6649000827152315
29,30,0.7056419253349304,0.6689142235605732
30,31,0.7038643956184387,0.6723948095644905
31,32,0.7005961537361145,0.6754379550377692
32,33,0.6974918246269226,0.6776049058145436
33,34,0.6943937540054321,0.6789602489601483
34,35,0.6920702457427979,0.6796977456705867
35,36,0.6885379552841187,0.6800178347876005
36,37,0.6857151985168457,0.6801909062287765
37,38,0.6829143166542053,0.6803148258185371
38,39,0.6796984672546387,0.6803900314352911
39,40,0.6765170097351074,0.6807104489611115
40,41,0.6741369366645813,0.6811920057414617
41,42,0.6706318855285645,0.6822691866277188
42,43,0.6673226356506348,0.6836966702412142
43,44,0.6652093529701233,0.6856678893691442
44,45,0.6615399718284607,0.6882945030058164
45,46,0.6571575999259949,0.6915690672182767
46,47,0.654884934425354,0.6952112303551325
47,48,0.6514127850532532,0.699193077667807
48,49,0.6499091982841492,0.703557521240387
49,50,0.6474481225013733,0.7080476359163634
50,51,0.643497109413147,0.712414049941784
51,52,0.6396690011024475,0.7166587337694894
52,53,0.6381322741508484,0.7209081247900921
53,54,0.6333261132240295,0.725237100211539
54,55,0.6330649852752686,0.729519660521627
55,56,0.6284234523773193,0.7334684480144185
56,57,0.6271277070045471,0.7370811638282658
57,58,0.6248912811279297,0.7401743369097782
58,59,0.622669517993927,0.7431452324455641
59,60,0.6178390383720398,0.7458171664975726
60,61,0.6164833903312683,0.7483304790959037
61,62,0.613737940788269,0.7503960610209836
62,63,0.6122184991836548,0.752154690181321
63,64,0.6065571308135986,0.7537077354286107
64,65,0.606197714805603,0.755366418842083
65,66,0.6037048697471619,0.756845243699039
66,67,0.6004399061203003,0.7584535710954712
67,68,0.5975116491317749,0.7603013085120498
68,69,0.5964776873588562,0.762632463692217
69,70,0.5941407680511475,0.7652124432783256
70,71,0.5920208692550659,0.7677430520738141
71,72,0.5901656150817871,0.7704170660482655
