epoch,loss,auc
241,0.763740647,0.51561892
242,0.770032754,0.510209799
243,0.761191981,0.510562062
244,0.763661091,0.511315703
245,0.771099596,0.510832369
246,0.758484203,0.513467669
247,0.765495184,0.511568606
248,0.786985393,0.512252748
249,0.75143452,0.513538897
250,0.749535205,0.512663007
251,0.771430005,0.509650707
252,0.787890614,0.511942506
253,0.757653522,0.514824629
254,0.750983343,0.512135625
255,0.767964651,0.506887734
256,0.797501147,0.514829874
257,0.751871721,0.512042105
258,0.745430535,0.52037096
259,0.756723933,0.510430396
260,0.789374946,0.508648157
261,0.796667598,0.514167964
262,0.753801855,0.512811422
263,0.741568476,0.511435509
264,0.75076976,0.506621718
265,0.784717683,0.510997534
266,0.785399286,0.505862176
267,0.76706839,0.504179657
268,0.759650311,0.509573221
269,0.765138256,0.503908038
270,0.780894685,0.507312179
271,0.780291921,0.504967093
272,0.766508271,0.50758636
273,0.763528497,0.503150344
274,0.772101574,0.507895529
275,0.788176586,0.508253872
276,0.775374488,0.518517852
277,0.771951421,0.513708889
278,0.772282546,0.50808531
279,0.781453728,0.509205043
280,0.783567343,0.510506868
281,0.762910324,0.510306597
282,0.756829649,0.504486382
283,0.76664409,0.50625217
284,0.781804206,0.508375704
285,0.783275996,0.505472004
286,0.765781514,0.504002571
287,0.756703865,0.510007203
288,0.769397021,0.502407968
289,0.78044315,0.506457925
290,0.773415685,0.508811533
291,0.770892105,0.500516653
292,0.778607623,0.509801149
293,0.78775802,0.508267641
294,0.793617227,0.500025153
295,0.781800622,0.505518556
296,0.769406697,0.507746994
297,0.775502423,0.501655877
298,0.789219417,0.509340227
299,0.782911184,0.507018924
300,0.772048178,0.500880361
301,0.774290803,0.506277859
302,0.782951679,0.50489074
303,0.782661406,0.502705753
304,0.777986941,0.507699311
305,0.774598994,0.501285911
306,0.782247499,0.498854905
307,0.787401809,0.50470072
308,0.778315559,0.498696417
309,0.776093719,0.50051713
310,0.787192526,0.501685023
311,0.788772183,0.502826929
312,0.782854921,0.501203954
313,0.78681768,0.501788139
314,0.797482512,0.49711895
315,0.790218529,0.499510258
316,0.786203449,0.499219179
317,0.7892101,0.501344562
318,0.790212795,0.500595629
319,0.789454502,0.502848387
320,0.790597675,0.498783767
321,0.796485551,0.502388477
322,0.806688455,0.502941012
323,0.787874129,0.499469489
324,0.79044788,0.49994874
325,0.807959563,0.501171529
326,0.786325292,0.495167524
327,0.785224406,0.498266369
328,0.798753261,0.498133183
329,0.790300952,0.496201783
330,0.790673648,0.501335204
331,0.797519782,0.495022267
332,0.7979749,0.4962852
333,0.797050328,0.498426467
334,0.794602721,0.496340156
335,0.793268183,0.494560957
336,0.796339339,0.49292466
337,0.798697357,0.497515857
338,0.790062283,0.495756298
339,0.792836,0.500103414
340,0.796461899,0.503022373
341,0.795179682,0.501442254
342,0.794409206,0.499453425
343,0.800390972,0.495188117
344,0.803365729,0.496406496
345,0.785011539,0.494751692
346,0.784969969,0.497002333
347,0.801409435,0.498150587
348,0.773463705,0.4996261
349,0.789625441,0.4942182
350,0.81707484,0.499770343
351,0.779823185,0.498338282
352,0.782897566,0.497670084
353,0.820124136,0.498830855
354,0.794409922,0.495959729
355,0.786603738,0.499061495
356,0.810526146,0.494067997
357,0.803442777,0.49341166
358,0.786397681,0.496167421
359,0.795295075,0.495846927
360,0.802741105,0.497375131
361,0.794748215,0.493428379
362,0.805320948,0.493389338
363,0.809966386,0.494713157
364,0.794784768,0.498717338
365,0.802305338,0.495715588
366,0.811883977,0.494297832
367,0.802854348,0.494074225
368,0.799674966,0.492388308
369,0.81036775,0.495944351
370,0.807164,0.493742019
371,0.797612955,0.491363585
372,0.811884335,0.494643539
373,0.798288108,0.493937463
374,0.803761002,0.489917397
375,0.811159729,0.490779698
376,0.796996574,0.493923962
377,0.804398885,0.49408251
378,0.803628408,0.502086043
379,0.795917907,0.498733103
380,0.80144993,0.494875312
381,0.812302185,0.495537698
382,0.792939208,0.491594881
383,0.800645767,0.493440956
384,0.821757905,0.494092315
385,0.789753376,0.49210301
386,0.802593102,0.491925806
387,0.829319329,0.497392088
388,0.764764843,0.502526402
389,0.777937846,0.502016187
390,0.834039663,0.498894155
391,0.778965268,0.495857328
392,0.771966113,0.502175689
393,0.811665018,0.495585203
394,0.839695321,0.502916932
395,0.761184097,0.502731919
396,0.746321421,0.508432746
397,0.774253533,0.498889923
398,0.839744058,0.500282764
399,0.843944053,0.495101988
400,0.785734712,0.498603284
